observation_id,article_id,company_id,observation_date,observation_year,observation_quarter,observation_year_month,arr_usd_M,arr_usd
ARR0001,ART0661,COMP001,18-01-2024,2024,1,2024-01,7878,7878000000
ARR0002,ART0118,COMP001,27-02-2020,2020,1,2020-02,2600,2600000000
ARR0003,ART0504,COMP001,27-11-2023,2023,4,2023-11,7800,7800000000
ARR0004,ART0398,COMP001,24-06-2022,2022,2,2022-06,5600,5600000000
ARR0005,ART0133,COMP001,04-04-2021,2021,2,2021-04,3800,3800000000
ARR0006,ART0531,COMP001,21-06-2024,2024,2,2024-06,7722,7722000000
ARR0007,ART0565,COMP001,20-11-2024,2024,4,2024-11,8190,8190000000
ARR0008,ART0591,COMP001,23-02-2024,2024,1,2024-02,7878,7878000000
ARR0009,ART0437,COMP001,10-01-2021,2021,1,2021-01,3400,3400000000
ARR0010,ART0378,COMP001,11-11-2020,2020,4,2020-11,3000,3000000000
ARR0011,ART0094,COMP001,13-02-2023,2023,1,2023-02,6600,6600000000
ARR0012,ART0625,COMP001,18-01-2023,2023,1,2023-01,6600,6600000000
ARR0013,ART0082,COMP001,10-08-2023,2023,3,2023-08,7400,7400000000
ARR0014,ART0476,COMP001,10-01-2020,2020,1,2020-01,2600,2600000000
ARR0015,ART0697,COMP001,02-07-2023,2023,3,2023-07,7400,7400000000
ARR0016,ART0077,COMP001,28-08-2021,2021,3,2021-08,4200,4200000000
ARR0017,ART0429,COMP001,11-09-2021,2021,3,2021-09,4200,4200000000
ARR0018,ART0117,COMP002,09-07-2022,2022,3,2022-07,78000,78000000000
ARR0019,ART0278,COMP002,18-07-2020,2020,3,2020-07,45500,45500000000
ARR0020,ART0114,COMP002,19-11-2023,2023,4,2023-11,95000,95000000000
ARR0021,ART0666,COMP002,25-05-2024,2024,2,2024-05,98800,98800000000
ARR0022,ART0473,COMP002,27-01-2022,2022,1,2022-01,70000,70000000000
ARR0023,ART0660,COMP002,23-10-2024,2024,4,2024-10,102600,102600000000
ARR0024,ART0670,COMP002,27-09-2024,2024,3,2024-09,100700,100700000000
ARR0025,ART0623,COMP002,20-12-2024,2024,4,2024-12,102600,102600000000
ARR0026,ART0501,COMP002,04-10-2024,2024,4,2024-10,102600,102600000000
ARR0027,ART0590,COMP002,20-01-2022,2022,1,2022-01,70000,70000000000
ARR0028,ART0080,COMP002,27-09-2020,2020,3,2020-09,45500,45500000000
ARR0029,ART0513,COMP002,04-03-2024,2024,1,2024-03,98800,98800000000
ARR0030,ART0530,COMP002,06-03-2024,2024,1,2024-03,96900,96900000000
ARR0031,ART0495,COMP002,09-04-2021,2021,2,2021-04,58000,58000000000
ARR0032,ART0503,COMP002,09-06-2024,2024,2,2024-06,98800,98800000000
ARR0033,ART0369,COMP002,15-08-2023,2023,3,2023-08,92000,92000000000
ARR0034,ART0233,COMP002,22-11-2022,2022,4,2022-11,81000,81000000000
ARR0035,ART0696,COMP002,02-04-2023,2023,2,2023-04,88500,88500000000
ARR0036,ART0375,COMP002,27-03-2020,2020,1,2020-03,38000,38000000000
ARR0037,ART0246,COMP002,15-10-2021,2021,4,2021-10,65000,65000000000
ARR0038,ART0272,COMP002,11-11-2023,2023,4,2023-11,95000,95000000000
ARR0039,ART0247,COMP002,22-05-2021,2021,2,2021-05,58000,58000000000
ARR0040,ART0564,COMP002,28-07-2024,2024,3,2024-07,100700,100700000000
ARR0041,ART0285,COMP002,09-02-2020,2020,1,2020-02,38000,38000000000
ARR0042,ART0157,COMP003,03-09-2021,2021,3,2021-09,45,45000000
ARR0043,ART0311,COMP003,22-10-2021,2021,4,2021-10,70,70000000
ARR0044,ART0086,COMP003,19-07-2021,2021,3,2021-07,45,45000000
ARR0045,ART0452,COMP003,20-08-2021,2021,3,2021-08,45,45000000
ARR0046,ART0534,COMP003,28-02-2023,2023,1,2023-02,320,320000000
ARR0047,ART0631,COMP003,09-01-2024,2024,1,2024-01,602,602000000
ARR0048,ART0314,COMP003,19-10-2021,2021,4,2021-10,70,70000000
ARR0049,ART0249,COMP003,17-05-2023,2023,2,2023-05,380,380000000
ARR0050,ART0701,COMP003,26-02-2024,2024,1,2024-02,602,602000000
ARR0051,ART0250,COMP003,29-10-2020,2020,4,2020-10,12,12000000
ARR0052,ART0570,COMP003,17-11-2024,2024,4,2024-11,1034,1034000000
ARR0053,ART0141,COMP003,25-02-2022,2022,1,2022-02,95,95000000
ARR0054,ART0410,COMP003,31-01-2020,2020,1,2020-01,5,5000000
ARR0055,ART0330,COMP003,27-02-2021,2021,1,2021-02,18,18000000
ARR0056,ART0457,COMP003,24-12-2022,2022,4,2022-12,250,250000000
ARR0057,ART0729,COMP003,11-08-2023,2023,3,2023-08,430,430000000
ARR0058,ART0668,COMP003,03-10-2024,2024,4,2024-10,1034,1034000000
ARR0059,ART0597,COMP003,20-08-2024,2024,3,2024-08,884,884000000
ARR0060,ART0468,COMP003,21-02-2020,2020,1,2020-02,5,5000000
ARR0061,ART0173,COMP003,25-04-2022,2022,2,2022-04,130,130000000
ARR0062,ART0261,COMP003,19-06-2022,2022,2,2022-06,130,130000000
ARR0063,ART0307,COMP003,30-06-2021,2021,2,2021-06,28,28000000
ARR0064,ART0170,COMP003,28-10-2022,2022,4,2022-10,250,250000000
ARR0065,ART0431,COMP003,04-03-2022,2022,1,2022-03,95,95000000
ARR0066,ART0226,COMP003,11-03-2022,2022,1,2022-03,95,95000000
ARR0067,ART0142,COMP004,15-10-2022,2022,4,2022-10,1010,1010000000
ARR0068,ART0563,COMP004,21-08-2024,2024,3,2024-08,1566,1566000000
ARR0069,ART0100,COMP004,28-09-2023,2023,3,2023-09,1260,1260000000
ARR0070,ART0119,COMP004,14-06-2023,2023,2,2023-06,1180,1180000000
ARR0071,ART0485,COMP004,19-06-2020,2020,2,2020-06,420,420000000
ARR0072,ART0610,COMP004,08-04-2024,2024,2,2024-04,1499,1499000000
ARR0073,ART0085,COMP004,15-04-2022,2022,2,2022-04,875,875000000
ARR0074,ART0644,COMP004,14-12-2024,2024,4,2024-12,1647,1647000000
ARR0075,ART0516,COMP004,15-07-2022,2022,3,2022-07,945,945000000
ARR0076,ART0045,COMP004,22-08-2020,2020,3,2020-08,455,455000000
ARR0077,ART0294,COMP004,21-10-2023,2023,4,2023-10,1350,1350000000
ARR0078,ART0336,COMP004,25-03-2021,2021,1,2021-03,560,560000000
ARR0079,ART0498,COMP004,27-07-2022,2022,3,2022-07,945,945000000
ARR0080,ART0300,COMP004,09-07-2023,2023,3,2023-07,1260,1260000000
ARR0081,ART0679,COMP004,23-12-2024,2024,4,2024-12,1647,1647000000
ARR0082,ART0038,COMP004,05-04-2021,2021,2,2021-04,620,620000000
ARR0083,ART0075,COMP004,20-10-2020,2020,4,2020-10,500,500000000
ARR0084,ART0334,COMP004,24-04-2023,2023,2,2023-04,1180,1180000000
ARR0085,ART0364,COMP004,20-04-2020,2020,2,2020-04,420,420000000
