article_id,original_index,company_name_clean,has_company_metadata,title,category,category_clean,author,published_date_clean,published_year,published_quarter,published_month,published_year_month,word_count,revenue_usd_M,summary,url,industry,headquarters,founded_year,employee_count,is_public,stock_ticker,company_age,company_size_category
ART0661,660,Airbnb,True,Airbnb Achieves Profitability Milestone,Artificial Intelligence,AI_ML,John Smith,18-01-2024,2024,1,1,2024-01,1885,7878,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/661,Data Analytics,"London, UK",1999,19967,False,,25,Medium
ART0118,117,Airbnb,True,Airbnb Reports Record Revenue Growth,AI & ML,AI_ML,Sam Wilson,27-02-2020,2020,1,2,2020-02,1068,2600,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/118,Data Analytics,"London, UK",1999,19967,False,,21,Medium
ART0725,724,Airbnb,True,Airbnb CEO Discusses Future of AI,AI/ML,AI_ML,Unknown,08-04-2024,2024,2,4,2024-04,1588,,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/725,Data Analytics,"London, UK",1999,19967,False,,25,Medium
ART0504,503,Airbnb,True,Airbnb Faces Regulatory Scrutiny,AI & ML,AI_ML,Unknown,27-11-2023,2023,4,11,2023-11,988,7800,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/504,Data Analytics,"London, UK",1999,19967,False,,24,Medium
ART0271,270,Airbnb,True,Airbnb Partners with Major Enterprise Client,AI & ML,AI_ML,Unknown,31-10-2022,2022,4,10,2022-10,1910,,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/271,Data Analytics,"London, UK",1999,19967,False,,23,Medium
ART0398,397,Airbnb,True,Airbnb Faces Regulatory Scrutiny,Cloud Computing,Cloud_Computing,John Smith,24-06-2022,2022,2,6,2022-06,723,5600,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/398,Data Analytics,"London, UK",1999,19967,False,,23,Medium
ART0208,207,Airbnb,True,Airbnb Announces Breakthrough in Large Language Models,Cloud Services,Cloud_Computing,Sam Wilson,19-09-2022,2022,3,9,2022-09,838,,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/208,Data Analytics,"London, UK",1999,19967,False,,23,Medium
ART0133,132,Airbnb,True,Airbnb Releases Open Source Framework,Cloud Services,Cloud_Computing,Unknown,04-04-2021,2021,2,4,2021-04,2759,3800,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/133,Data Analytics,"London, UK",1999,19967,False,,22,Medium
ART0027,26,Airbnb,True,Airbnb Releases Open Source Framework,Cloud Computing,Cloud_Computing,Unknown,12-04-2022,2022,2,4,2022-04,2186,,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/27,Data Analytics,"London, UK",1999,19967,False,,23,Medium
ART0531,530,Airbnb,True,Airbnb Achieves Profitability Milestone,Cloud Computing,Cloud_Computing,Unknown,21-06-2024,2024,2,6,2024-06,1088,7722,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/531,Data Analytics,"London, UK",1999,19967,False,,25,Medium
