company_id,observation_year,observation_quarter,observations_count,latest_arr_usd_M,avg_arr_usd_M,max_arr_usd_M,min_arr_usd_M,company_name,industry
COMP001,2020,1,2,2600,2600.0,2600,2600,Airbnb,Data Analytics
COMP001,2020,4,1,3000,3000.0,3000,3000,Airbnb,Data Analytics
COMP001,2021,1,1,3400,3400.0,3400,3400,Airbnb,Data Analytics
COMP001,2021,2,1,3800,3800.0,3800,3800,Airbnb,Data Analytics
COMP001,2021,3,2,4200,4200.0,4200,4200,Airbnb,Data Analytics
COMP001,2022,2,1,5600,5600.0,5600,5600,Airbnb,Data Analytics
COMP001,2023,1,2,6600,6600.0,6600,6600,Airbnb,Data Analytics
COMP001,2023,3,2,7400,7400.0,7400,7400,Airbnb,Data Analytics
COMP001,2023,4,1,7800,7800.0,7800,7800,Airbnb,Data Analytics
COMP001,2024,1,2,7878,7878.0,7878,7878,Airbnb,Data Analytics
COMP001,2024,2,1,7722,7722.0,7722,7722,Airbnb,Data Analytics
COMP001,2024,4,1,8190,8190.0,8190,8190,Airbnb,Data Analytics
COMP002,2020,1,2,38000,38000.0,38000,38000,Amazon Web Services,SaaS
COMP002,2020,3,2,45500,45500.0,45500,45500,Amazon Web Services,SaaS
COMP002,2021,2,2,58000,58000.0,58000,58000,Amazon Web Services,SaaS
COMP002,2021,4,1,65000,65000.0,65000,65000,Amazon Web Services,SaaS
COMP002,2022,1,2,70000,70000.0,70000,70000,Amazon Web Services,SaaS
COMP002,2022,3,1,78000,78000.0,78000,78000,Amazon Web Services,SaaS
COMP002,2022,4,1,81000,81000.0,81000,81000,Amazon Web Services,SaaS
COMP002,2023,2,1,88500,88500.0,88500,88500,Amazon Web Services,SaaS
COMP002,2023,3,1,92000,92000.0,92000,92000,Amazon Web Services,SaaS
COMP002,2023,4,2,95000,95000.0,95000,95000,Amazon Web Services,SaaS
COMP002,2024,1,2,96900,97850.0,98800,96900,Amazon Web Services,SaaS
COMP002,2024,2,2,98800,98800.0,98800,98800,Amazon Web Services,SaaS
COMP002,2024,3,2,100700,100700.0,100700,100700,Amazon Web Services,SaaS
COMP002,2024,4,3,102600,102600.0,102600,102600,Amazon Web Services,SaaS
COMP003,2020,1,2,5,5.0,5,5,Anthropic,FinTech
COMP003,2020,4,1,12,12.0,12,12,Anthropic,FinTech
COMP003,2021,1,1,18,18.0,18,18,Anthropic,FinTech
COMP003,2021,2,1,28,28.0,28,28,Anthropic,FinTech
COMP003,2021,3,3,45,45.0,45,45,Anthropic,FinTech
COMP003,2021,4,2,70,70.0,70,70,Anthropic,FinTech
COMP003,2022,1,3,95,95.0,95,95,Anthropic,FinTech
COMP003,2022,2,2,130,130.0,130,130,Anthropic,FinTech
COMP003,2022,4,2,250,250.0,250,250,Anthropic,FinTech
COMP003,2023,1,1,320,320.0,320,320,Anthropic,FinTech
COMP003,2023,2,1,380,380.0,380,380,Anthropic,FinTech
COMP003,2023,3,1,430,430.0,430,430,Anthropic,FinTech
COMP003,2024,1,2,602,602.0,602,602,Anthropic,FinTech
COMP003,2024,3,1,884,884.0,884,884,Anthropic,FinTech
COMP003,2024,4,2,1034,1034.0,1034,1034,Anthropic,FinTech
COMP004,2020,1,2,390,390.0,390,390,Cloudflare,Cybersecurity
COMP004,2020,2,2,420,420.0,420,420,Cloudflare,Cybersecurity
COMP004,2020,3,1,455,455.0,455,455,Cloudflare,Cybersecurity
COMP004,2020,4,1,500,500.0,500,500,Cloudflare,Cybersecurity
COMP004,2021,1,1,560,560.0,560,560,Cloudflare,Cybersecurity
COMP004,2021,2,1,620,620.0,620,620,Cloudflare,Cybersecurity
COMP004,2022,2,1,875,875.0,875,875,Cloudflare,Cybersecurity
COMP004,2022,3,2,945,945.0,945,945,Cloudflare,Cybersecurity
COMP004,2022,4,1,1010,1010.0,1010,1010,Cloudflare,Cybersecurity
COMP004,2023,2,4,1180,1180.0,1180,1180,Cloudflare,Cybersecurity
COMP004,2023,3,3,1260,1260.0,1260,1260,Cloudflare,Cybersecurity
COMP004,2023,4,1,1350,1350.0,1350,1350,Cloudflare,Cybersecurity
COMP004,2024,1,2,1431,1431.0,1431,1431,Cloudflare,Cybersecurity
COMP004,2024,2,2,1499,1499.0,1499,1499,Cloudflare,Cybersecurity
COMP004,2024,3,1,1566,1566.0,1566,1566,Cloudflare,Cybersecurity
COMP004,2024,4,3,1647,1647.0,1647,1647,Cloudflare,Cybersecurity
COMP005,2022,3,1,47,47.0,47,47,Cohere,
COMP005,2023,3,1,92,92.0,92,92,Cohere,
COMP005,2023,4,1,116,116.0,116,116,Cohere,
COMP005,2024,2,2,135,120.0,135,105,Cohere,
COMP005,2024,3,1,135,135.0,135,135,Cohere,
COMP006,2020,1,1,260,260.0,260,260,Confluent,Cloud Computing
COMP006,2020,2,3,285,285.0,285,285,Confluent,Cloud Computing
COMP006,2020,4,3,340,340.0,340,340,Confluent,Cloud Computing
COMP006,2021,1,1,390,390.0,390,390,Confluent,Cloud Computing
COMP006,2021,2,2,455,455.0,455,455,Confluent,Cloud Computing
COMP006,2022,1,3,600,600.0,600,600,Confluent,Cloud Computing
COMP006,2022,2,3,655,655.0,655,655,Confluent,Cloud Computing
COMP006,2022,3,1,600,600.0,600,600,Confluent,Cloud Computing
COMP006,2022,4,1,735,735.0,735,735,Confluent,Cloud Computing
COMP006,2023,1,7,790,817.1,980,790,Confluent,Cloud Computing
COMP006,2023,2,1,860,860.0,860,860,Confluent,Cloud Computing
COMP006,2023,3,1,790,790.0,790,790,Confluent,Cloud Computing
COMP006,2023,4,2,980,980.0,980,980,Confluent,Cloud Computing
COMP006,2024,1,2,1019,1019.0,1019,1019,Confluent,Cloud Computing
COMP006,2024,2,1,1156,1156.0,1156,1156,Confluent,Cloud Computing
COMP006,2024,4,1,1156,1156.0,1156,1156,Confluent,Cloud Computing
COMP007,2020,2,1,150,150.0,150,150,DataRobot,Cloud Computing
COMP007,2020,3,3,170,170.0,170,170,DataRobot,Cloud Computing
