article_id,title,company_name,published_date,category,arr_usd,summary,url,industry,founded_year,headquarters,employee_count,is_public,stock_ticker,company_age,company_size_category,embedding
ART0661,Airbnb Achieves Profitability Milestone,Airbnb,18-01-2024,AI_ML,7878000000,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/661,Data Analytics,1999,"London, UK",19967,False,,25,Medium,[]
ART0504,Airbnb Faces Regulatory Scrutiny,Airbnb,27-11-2023,AI_ML,7800000000,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/504,Data Analytics,1999,"London, UK",19967,False,,24,Medium,[]
ART0534,Anthropic Achieves Profitability Milestone,Anthropic,28-02-2023,AI_ML,320000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/534,FinTech,2006,"San Francisco, CA",43747,False,,17,Large,[]
ART0631,Anthropic Acquires Competitor for Undisclosed Sum,Anthropic,09-01-2024,AI_ML,602000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/631,FinTech,2006,"San Francisco, CA",43747,False,,18,Large,[]
ART0249,Anthropic Reports Record Revenue Growth,Anthropic,17-05-2023,AI_ML,380000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/249,FinTech,2006,"San Francisco, CA",43747,False,,17,Large,[]
ART0701,Anthropic Faces Regulatory Scrutiny,Anthropic,26-02-2024,AI_ML,602000000,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/701,FinTech,2006,"San Francisco, CA",43747,False,,18,Large,[]
ART0142,Cloudflare Expands into European Market,Cloudflare,15-10-2022,AI_ML,1010000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/142,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,24,Small,[]
ART0563,CloudFlare Reports Record Revenue Growth,Cloudflare,21-08-2024,AI_ML,1566000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/563,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,26,Small,[]
ART0100,Cloudflare Releases Open Source Framework,Cloudflare,28-09-2023,AI_ML,1260000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/100,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,25,Small,[]
ART0119,Cloudflare Partners with Major Enterprise Client,Cloudflare,14-06-2023,AI_ML,1180000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/119,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,25,Small,[]
ART0610,Cloudflare Releases Open Source Framework,Cloudflare,08-04-2024,AI_ML,1499000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/610,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,26,Small,[]
ART0085,Cloudflare Faces Regulatory Scrutiny,Cloudflare,15-04-2022,AI_ML,875000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/85,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,24,Small,[]
ART0692,Cohere Unveils Next-Generation Platform,Cohere,10-06-2024,AI_ML,105000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/692,,,,,,,,Unknown,[]
ART0536,Cohere Acquires Competitor for Undisclosed Sum,Cohere,05-11-2023,AI_ML,116000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/536,,,,,,,,Unknown,[]
ART0243,Confluent CEO Discusses Future of AI,Confluent,19-03-2022,AI_ML,600000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/243,Cloud Computing,1995,"London, UK",3884,False,,27,Small,[]
ART0686,Confluent Faces Regulatory Scrutiny,Confluent,14-01-2023,AI_ML,790000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/686,Cloud Computing,1995,"London, UK",3884,False,,28,Small,[]
ART0004,Confluent Reports Record Revenue Growth,Confluent,13-12-2023,AI_ML,980000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/4,Cloud Computing,1995,"London, UK",3884,False,,28,Small,[]
ART0483,Confluent Partners with Major Enterprise Client,Confluent,08-05-2022,AI_ML,655000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/483,Cloud Computing,1995,"London, UK",3884,False,,27,Small,[]
ART0566,Data Robot Raises Series D Funding Round,DataRobot,09-03-2023,AI_ML,310000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/566,Cloud Computing,2012,"New York, NY",23471,True,,11,Medium,[]
ART0629,DataRobot Faces Regulatory Scrutiny,DataRobot,21-05-2024,AI_ML,388000000,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/629,Cloud Computing,2012,"New York, NY",23471,True,,12,Medium,[]
ART0638,Databricks Partners with Major Enterprise Client,Databricks,21-07-2024,AI_ML,3168000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/638,Data Analytics,2003,"Berlin, Germany",17962,True,DATA,21,Medium,[]
ART0738,Databricks Launches New AI-Powered Product,Databricks,25-02-2024,AI_ML,2640000000,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/738,Data Analytics,2003,"Berlin, Germany",17962,True,DATA,21,Medium,[]
ART0542,Databricks Announces Breakthrough in Large Language Models,Databricks,03-07-2024,AI_ML,3168000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/542,Data Analytics,2003,"Berlin, Germany",17962,True,DATA,21,Medium,[]
ART0122,Elastic Announces Breakthrough in Large Language Models,Elastic,10-03-2022,AI_ML,1010000000,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/122,Cybersecurity,2016,"San Francisco, CA",24508,True,ELAS,6,Medium,[]
ART0727,Elastic Partners with Major Enterprise Client,Elastic,18-07-2022,AI_ML,1030000000,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/727,Cybersecurity,2016,"San Francisco, CA",24508,True,ELAS,6,Medium,[]
ART0628,Elastic Expands into European Market,Elastic,27-12-2023,AI_ML,1250000000,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/628,Cybersecurity,2016,"San Francisco, CA",24508,True,ELAS,7,Medium,[]
ART0387,Elastic Unveils Next-Generation Platform,Elastic,17-02-2023,AI_ML,1100000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/387,Cybersecurity,2016,"San Francisco, CA",24508,True,ELAS,7,Medium,[]
ART0614,Google Deepmind Expands into European Market,Google DeepMind,19-12-2024,AI_ML,1215000000,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/614,Data Analytics,2017,"Austin, TX",24274,False,,7,Medium,[]
ART0573,Google DeepMind Announces Breakthrough in Large Language Models,Google DeepMind,10-10-2023,AI_ML,900000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/573,Data Analytics,2017,"Austin, TX",24274,False,,6,Medium,[]
ART0609,DeepMind Achieves Profitability Milestone,Google DeepMind,27-05-2024,AI_ML,1044000000,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/609,Data Analytics,2017,"Austin, TX",24274,False,,7,Medium,[]
ART0600,Google DeepMind Expands into European Market,Google DeepMind,27-08-2022,AI_ML,710000000,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/600,Data Analytics,2017,"Austin, TX",24274,False,,5,Medium,[]
ART0662,Hugging Face Raises Series D Funding Round,Hugging Face,19-06-2023,AI_ML,56000000,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/662,,,,,,,,Unknown,[]
